id,name,rating,price_level,indoor_outdoor,latitude,longitude,opening_time,gmaps_link,features_text,city,country,combined_features,total_reviews,today_hours,place_type
ChIJLQN6abQJxkcRxdcMtKwAP6w,this is holland,4.7,1,outdoor,52.3841865,4.9021959,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: 10:00 AM – 7:00 PM | Sunday: 10:00 AM – 7:00 PM,https://maps.google.com/?cid=12411639839811491781&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named this is holland located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",453,Monday: 10:00 AM – 7:00 PM | Tuesday: 10:00 AM – 7:00 PM | Wednesday: 10:00 AM – 7:00 PM | Thursday: 10:00 AM – 7:00 PM | Friday: 10:00 AM – 7:00 PM | Saturday: 10:00 AM – 7:00 PM | Sunday: 10:00 AM – 7:00 PM,destination
ChIJX-2rTqEJxkcRhjlIZp4bqFk,national maritime museum,4.5,1,outdoor,52.3715579,4.9143762,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=6460444032597768582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,museum history museum tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named national maritime museum located in amsterdam, netherlands. This place features characteristics and experiences such as: museum history museum tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",254,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,destination
ChIJqxRzZuLhxUcRpgvqX1nIp1A,hortus botanicus,4.5,1,outdoor,52.3669189,4.9076231,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,https://maps.google.com/?cid=5811834130331732902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,botanical garden tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named hortus botanicus located in amsterdam, netherlands. This place features characteristics and experiences such as: botanical garden tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",384,Monday: 10:00 AM – 5:00 PM | Tuesday: 10:00 AM – 5:00 PM | Wednesday: 10:00 AM – 5:00 PM | Thursday: 10:00 AM – 5:00 PM | Friday: 10:00 AM – 5:00 PM | Saturday: 10:00 AM – 5:00 PM | Sunday: 10:00 AM – 5:00 PM,destination
ChIJEUO-OccJxkcR4VAAGRIGuKA,national monument,4.4,1,outdoor,52.3728615,4.8937041,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,https://maps.google.com/?cid=11581013116581859553&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction monument point of interest establishment,amsterdam,netherlands,"A outdoor destination named national monument located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction monument point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",402,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,destination
ChIJSesAIckJxkcRcenskBkelo4,amsterdam center view,4.8,1,outdoor,52.3802678,4.8915776,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 8:00 PM | Saturday: 11:00 AM – 8:00 PM | Sunday: 12:00 – 9:00 PM,https://maps.google.com/?cid=10274432695046826353&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named amsterdam center view located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",323,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 8:00 PM | Saturday: 11:00 AM – 8:00 PM | Sunday: 12:00 – 9:00 PM,destination
ChIJZabaHsAJxkcRy92UyRY-mT0,munttoren,4.5,1,outdoor,52.367041,4.8932901,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,https://maps.google.com/?cid=4438647175342513611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction historical landmark historical place point of interest establishment,amsterdam,netherlands,"A outdoor destination named munttoren located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction historical landmark historical place point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",339,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: 9:00 AM – 6:00 PM | Sunday: Closed,destination
ChIJVVWYeucByEcRdaqHwP-kXPs,historisch amsterdam,4.8,1,outdoor,52.37046240000001,4.901443899999999,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 8:00 PM | Saturday: 11:00 AM – 8:00 PM | Sunday: 12:00 – 8:00 PM,https://maps.google.com/?cid=18112533219731024501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named historisch amsterdam located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",191,Monday: 11:00 AM – 8:00 PM | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 8:00 PM | Thursday: 11:00 AM – 8:00 PM | Friday: 11:00 AM – 8:00 PM | Saturday: 11:00 AM – 8:00 PM | Sunday: 12:00 – 8:00 PM,destination
ChIJ-cCxPtIJxkcRSvdhGA-KmJI,walekerkpoort,4.3,1,outdoor,52.3712444,4.8978142,No Opening Hours Data,https://maps.google.com/?cid=10563344723435714378&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named walekerkpoort located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",283,No Opening Hours Data,destination
ChIJgd8UOqQJxkcR4XUhj1NDnTQ,oude doelenstraat,4.7,1,outdoor,52.37187170000001,4.8958282,No Opening Hours Data,https://maps.google.com/?cid=3791260487478506977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction point of interest establishment,amsterdam,netherlands,"A outdoor destination named oude doelenstraat located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",32,No Opening Hours Data,destination
ChIJ19XKKccJxkcRawZK9nzTJz8,madame tussauds amsterdam,4.3,1,outdoor,52.3725915,4.8925782,Monday: 10:00 AM – 6:15 PM | Tuesday: 10:00 AM – 6:15 PM | Wednesday: 10:00 AM – 6:15 PM | Thursday: 10:00 AM – 6:15 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: 10:00 AM – 8:00 PM,https://maps.google.com/?cid=4550838482142627435&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,tourist attraction museum point of interest establishment,amsterdam,netherlands,"A outdoor destination named madame tussauds amsterdam located in amsterdam, netherlands. This place features characteristics and experiences such as: tourist attraction museum point of interest establishment. It is categorized as a destination. It is moderately priced and mid-range.",162,Monday: 10:00 AM – 6:15 PM | Tuesday: 10:00 AM – 6:15 PM | Wednesday: 10:00 AM – 6:15 PM | Thursday: 10:00 AM – 6:15 PM | Friday: 10:00 AM – 8:00 PM | Saturday: 10:00 AM – 8:00 PM | Sunday: 10:00 AM – 8:00 PM,destination
ChIJU9-Lo94JxkcRBzlvVAQV7n8,moeders,4.5,2,indoor,52.3718246,4.8749713,Monday: 5:00 – 11:30 PM | Tuesday: 5:00 – 11:30 PM | Wednesday: 5:00 – 11:30 PM | Thursday: 5:00 – 11:30 PM | Friday: 5:00 – 11:30 PM | Saturday: 5:00 – 11:30 PM | Sunday: 5:00 – 11:30 PM,https://maps.google.com/?cid=9218328595614611719&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,dutch restaurant restaurant food point of interest establishment,amsterdam,netherlands,"A indoor destination named moeders located in amsterdam, netherlands. This place features characteristics and experiences such as: dutch restaurant restaurant food point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",444,Monday: 5:00 – 11:30 PM | Tuesday: 5:00 – 11:30 PM | Wednesday: 5:00 – 11:30 PM | Thursday: 5:00 – 11:30 PM | Friday: 5:00 – 11:30 PM | Saturday: 5:00 – 11:30 PM | Sunday: 5:00 – 11:30 PM,restaurant
ChIJY_IxVu0JxkcRi3NPxcHUO4o,restaurant zaza's,4.8,2,indoor,52.35623,4.892197299999999,Monday: 6:00 – 10:00 PM | Tuesday: 6:00 – 10:00 PM | Wednesday: 6:00 – 10:00 PM | Thursday: 6:00 – 10:00 PM | Friday: 6:00 – 10:00 PM | Saturday: 6:00 – 10:00 PM | Sunday: Closed,https://maps.google.com/?cid=9960788929564078987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant food point of interest establishment,amsterdam,netherlands,"A indoor destination named restaurant zaza's located in amsterdam, netherlands. This place features characteristics and experiences such as: restaurant food point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",78,Monday: 6:00 – 10:00 PM | Tuesday: 6:00 – 10:00 PM | Wednesday: 6:00 – 10:00 PM | Thursday: 6:00 – 10:00 PM | Friday: 6:00 – 10:00 PM | Saturday: 6:00 – 10:00 PM | Sunday: Closed,restaurant
ChIJJ-S23XoJxkcRDsSNU2mgH34,de kas,4.7,3,indoor,52.3521561,4.9305109,"Monday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Tuesday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Wednesday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Thursday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Friday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Saturday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Sunday: Closed",https://maps.google.com/?cid=9088158947290760206&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,fine dining restaurant restaurant food point of interest establishment,amsterdam,netherlands,"A indoor destination named de kas located in amsterdam, netherlands. This place features characteristics and experiences such as: fine dining restaurant restaurant food point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",78,"Monday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Tuesday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Wednesday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Thursday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Friday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Saturday: 12:00 – 4:00 PM, 6:00 PM – 12:00 AM | Sunday: Closed",restaurant
ChIJYdz3D8UJxkcRWXG3uo2Em14,black and blue,4.3,2,indoor,52.375747200000006,4.8854076,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,https://maps.google.com/?cid=6817188205213217113&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,steak house diner cafe restaurant food point of interest establishment,amsterdam,netherlands,"A indoor destination named black and blue located in amsterdam, netherlands. This place features characteristics and experiences such as: steak house diner cafe restaurant food point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",282,Monday: 11:00 AM – 11:00 PM | Tuesday: 11:00 AM – 11:00 PM | Wednesday: 11:00 AM – 11:00 PM | Thursday: 11:00 AM – 11:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 11:00 PM,restaurant
ChIJf2ly3FMJxkcR0rfdI9JGnDE,restaurant black olive amsterdam,4.8,1,indoor,52.3684797,4.9057377,Monday: 5:00 – 10:00 PM | Tuesday: 5:00 – 10:00 PM | Wednesday: 5:00 – 10:00 PM | Thursday: 5:00 – 10:00 PM | Friday: 5:00 – 10:00 PM | Saturday: 5:00 – 10:00 PM | Sunday: Closed,https://maps.google.com/?cid=3574810072584140754&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,restaurant vegan restaurant tapas restaurant turkish restaurant mediterranean restaurant vegetarian restaurant spanish restaurant italian restaurant food point of interest establishment,amsterdam,netherlands,"A indoor destination named restaurant black olive amsterdam located in amsterdam, netherlands. This place features characteristics and experiences such as: restaurant vegan restaurant tapas restaurant turkish restaurant mediterranean restaurant vegetarian restaurant spanish restaurant italian restaurant food point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",131,Monday: 5:00 – 10:00 PM | Tuesday: 5:00 – 10:00 PM | Wednesday: 5:00 – 10:00 PM | Thursday: 5:00 – 10:00 PM | Friday: 5:00 – 10:00 PM | Saturday: 5:00 – 10:00 PM | Sunday: Closed,restaurant
ChIJc_vsisAJxkcRYHHoB6BoEIg,il vicolo,4.8,1,indoor,52.3691824,4.8916321,Monday: 5:00 – 9:15 PM | Tuesday: Closed | Wednesday: 5:00 – 9:15 PM | Thursday: 12:00 – 9:15 PM | Friday: 12:00 – 9:15 PM | Saturday: 12:00 – 9:15 PM | Sunday: 12:00 – 9:15 PM,https://maps.google.com/?cid=9804451425322299744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,italian restaurant restaurant food point of interest establishment,amsterdam,netherlands,"A indoor destination named il vicolo located in amsterdam, netherlands. This place features characteristics and experiences such as: italian restaurant restaurant food point of interest establishment. It is categorized as a restaurant. It is moderately priced and mid-range.",438,Monday: 5:00 – 9:15 PM | Tuesday: Closed | Wednesday: 5:00 – 9:15 PM | Thursday: 12:00 – 9:15 PM | Friday: 12:00 – 9:15 PM | Saturday: 12:00 – 9:15 PM | Sunday: 12:00 – 9:15 PM,restaurant
